Country;Country Code;Index Economic Freedom_2018;Property Rights;Government Integrity;Judicial Effectiveness;Tax Burden;Government Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom;Financial Freedom
Croatia;HRV;68.7;81.3;53.4;71.4;77.3;35.1;90.3;80.4;69.1;66.6;79.6;60;60
Cuba;CUB;25.4;29.9;33.4;14.3;51.9;0;0;42.3;20;20;72.8;10;10
Cyprus;CYP;73.2;83.7;57.3;89.2;79.9;51.2;85.2;78.9;61.9;76.1;79.6;75;60
Czech Republic;CZE;72.9;89.9;62.8;92;78.9;42.2;71.5;81.4;57.9;68.9;79.6;70;80
Democratic Republic of Congo;COD;47.3;15.6;11.7;12;74.2;92.4;97;32.8;54.4;59.4;68.2;30;20
Denmark;DNK;79.1;99.3;98;90.5;45;33.6;98.2;93;64.9;76.6;79.6;90;80
Djibouti;DJI;55.7;30.6;27.7;27.7;83.5;86.2;86.6;53.7;52.8;70.3;49.8;50;50
Dominica;DMA;55.3;68.9;59.9;82.9;76.1;0;26.4;68;49.9;76.8;54.6;60;40
Dominican Republic;DOM;64.3;56.3;38.5;58.2;84.6;89.5;77;75.6;53.1;69.4;68.8;60;40
Ecuador;ECU;55.8;30.5;33.8;48;76.6;54.9;89.3;66.6;57.4;75.3;67.2;30;40
Egypt;EGY;50.9;40.6;29.6;21.9;85.8;82.2;20.7;48;43.6;62.6;60.2;65;50
El Salvador;SLV;56.6;43.2;30.9;14.6;78.2;72.2;56.1;62.7;54.9;66.2;70.4;70;60
Equatorial Guinea;GNQ;47.7;18.7;7.2;7.1;74.9;92.5;97.2;36.5;44.9;74.3;48.8;40;30
Eritrea;ERI;38.6;6.1;14.5;3.8;80.3;62.3;69;31.3;43.4;63.9;68.4;0;20
Estonia;EST;78.9;93.7;84.5;93.9;80.8;48.8;90.9;83.3;62.2;68.8;79.6;90;70
Eswatini;SWZ;56.4;44.8;29.9;36.8;76.1;73.9;70.6;49.5;55.9;76.1;73.6;50;40
Ethiopia;ETH;48.1;27.9;32.7;19.7;78.2;95.4;80.9;45.3;39.4;49.9;57.4;30;20
Fiji;FJI;59.1;61.4;52.3;46.5;89.7;67.8;6.1;68.6;72;74.8;65;55;50
Finland;FIN;77;100;94.8;97;68.2;7.3;81.5;88.3;65.6;76.1;79.6;85;80
France;FRA;64.4;92.9;74.3;84.2;54.3;0;30;81.9;60.2;70.3;79.6;75;70
Gabon;GAB;56.3;25.4;21.7;19.8;77.7;88.4;85.7;64.9;55.7;78.1;58;60;40
Georgia;GEO;69;62.3;58.9;55.3;89.1;72.9;75.9;78.1;63.5;65.3;86.2;60;60
Germany;DEU;71.6;95.4;86;93.5;60.5;26.9;81.1;83.7;53.3;69;79.6;60;70
Ghana;GHA;56;50.5;45.8;58.2;79.9;81.6;6.2;56.6;55.9;52.7;64.4;60;60
Greece;GRC;60.6;77.3;51.8;70.4;60;14;58.9;78;61.7;70.7;79.6;55;50
Guatemala;GTM;63.4;38.7;22.6;26.8;92;94.3;95.5;67.1;57.9;74.2;72.2;70;50
Guinea;GIN;54.6;22.3;25.1;26.5;70.4;93;93.4;44.9;56.4;71.1;61.8;50;40
Guinea-Bissau;GNB;43.6;26.5;20.4;14;88.9;84.5;15.6;35.1;54.8;73.3;50.6;30;30
Guyana;GUY;58.2;48.2;38.6;48.3;76.9;83.6;39.7;71.1;76.7;76;54;55;30
Haiti;HTI;46.1;10.7;13;16.7;81.7;98.1;96.6;33.3;54.9;41.2;66.4;20;20
Honduras;HND;59.6;38.1;25.1;27.1;84.5;79.2;94.8;65;38.8;68.2;69.4;65;60
Hungary;HUN;61.4;69.2;42.2;62.7;85.3;28.5;17.6;76.1;60.3;65.1;79.6;80;70
Iceland;ISL;72.8;97;81.5;95.6;72.6;33.2;55.2;86.3;60.1;71.8;80.4;70;70
India;IND;53;51.1;37.6;53.2;71.3;74.2;6.2;72.3;59;69.9;61;40;40
Indonesia;IDN;65.2;39.8;40.1;45.3;81.8;90.9;84.9;73;59.3;78;79.4;50;60
Iran;IRN;42.5;23.3;16.3;18.6;81.3;94;84.1;38.4;43.6;39;55.8;5;10
Iraq;IRQ;12.53;6.3;19.9;7.1;13;13;13;13;13;13;13;13;13
Ireland;IRL;83.1;94.1;84;95.5;77.6;85.1;95.8;88.1;62.4;75;79.6;90;70
Israel;ISR;69.9;77.2;63.9;68.1;60.8;55.6;81.7;73.4;58.3;77.3;82.8;70;70
Italy;ITA;60.9;82.2;60.6;78.8;57.4;9.5;0;77.6;70.7;74.2;79.6;80;60
Jamaica;JAM;68.7;67.8;49.5;79.9;76.5;72.8;89;70.1;64.4;72.8;71.8;60;50
Japan;JPN;70.2;95.1;82.8;96;62.5;47.5;41.6;78;67.8;74.4;76.2;60;60
Jordan;JOR;59.4;54.4;48.8;43.5;83.9;68.5;2.8;62.4;55.6;79.9;82.4;70;60
Kazakhstan;KAZ;63.8;54.7;39.9;34.8;91.7;85.1;91.8;69.3;63.2;61.3;73.2;50;50
Kenya;KEN;54.8;41.8;31.5;48;77;83.7;25.1;58.9;57.3;72.6;56.6;55;50
Kiribati;KIR;50.9;68.5;48.9;59.9;72.9;0;19.7;62.8;65.3;72.5;80;30;30
Kosovo;XKX;61.7;47.6;43.2;32.2;91.9;74.3;98.5;56.8;47.5;69;84.2;65;30
Kuwait;KWT;59.9;42.7;46.9;42.9;97.7;38.2;100;57.4;49;67.8;75.6;50;50
Kyrgyz Republic;KGZ;55.6;21.7;23.3;10.2;92.5;64.8;95.9;58.7;52.9;63.4;73.6;60;50
Laos;LAO;51.1;42.5;23.2;12.5;88.8;92.9;80;55.3;42.4;52.3;68.4;35;20
Latvia;LVA;71.4;87.8;66.7;72.3;76.2;46.9;67.2;81.8;64;69.5;79.6;85;60
Lebanon;LBN;44.1;22.3;24.5;22.6;90.3;95.6;63.6;47.8;57.1;0;65.4;20;20
Lesotho;LSO;54.1;42.4;39.3;43.6;68;23.8;92;49.6;58;73.5;63.8;55;40
Liberia;LBR;48.5;32.8;24.9;22.7;86;76.6;53.6;39;43.5;70.7;57;55;20
Libya;LBY;6.25;5.7;11.7;3.6;6;6;6;6;6;6;6;6;6
Liechtenstein;LIE;84.88;94.4;82.4;86.7;85;85;85;85;85;85;85;80;80
Lithuania;LTU;74.6;89.4;68.7;74.6;76.9;58.8;96;81;60.5;69.2;79.6;70;70
Luxembourg;LUX;79.5;97.8;85.7;97.2;62.7;39.4;98.5;89.2;57.5;71.9;79.6;95;80
Madagascar;MDG;57;40.8;25.5;34.5;91.1;92.3;66.3;38.1;56.1;70.9;68.8;50;50
Malawi;MWI;50.9;49.4;34.4;52.3;77.1;79.4;3.3;31.3;56;58.3;68.8;50;50
Malaysia;MYS;67.1;66.3;51.1;66.2;83.9;82.1;48.1;76.6;58.1;79.6;83.4;60;50
Maldives;MDV;48.3;51.6;40.5;41;91.5;44.4;0;48.8;58.2;75.2;63.2;35;30
Mali;MLI;52.6;23.5;22.7;32.9;70;79.6;60.4;42.4;53.9;77.2;64;65;40
Malta;MLT;66.8;86.2;55;81.5;70;57.5;44.8;80.7;65.2;70.5;79.6;60;50
Mauritania;MRT;54.9;35.8;23.8;28.3;75.8;81.5;95.4;38.8;53.6;74.6;60.6;50;40
Mauritius;MUS;75;86.4;53.2;81;89.8;77.1;64.9;82.9;69.3;67.4;87.4;70;70
Mexico;MEX;61.3;41.1;29.5;39.9;75.6;76.5;67.3;71.9;57.6;69.3;72.2;75;60
Micronesia;FSM;62.2;70;56;86.6;92.1;0;99.7;54.9;72.5;75.1;75;35;30
Moldova;MDA;58.3;40.2;43.4;31.3;92.8;59.5;75.9;66.2;49.1;59.4;77.2;55;50
Mongolia;MNG;62.6;49.7;35.5;55.4;85.7;72.6;73.5;67.9;68.1;68.8;74.4;50;50
Montenegro;MNE;63.8;58.8;48.9;50.1;88.7;45.2;87.9;70.9;64.4;70.9;79.6;50;50
Morocco;MAR;60.3;58.6;36.9;32.7;71.4;67.9;46.2;68.9;48.5;74.7;67.2;75;75
Mozambique;MOZ;50.7;31.6;24.9;44.9;75.4;68.8;51.9;37.3;47.7;72.3;74;40;40
Namibia;NAM;58.7;65;51.2;67.3;69.4;57.9;34.2;61.9;62.9;74.9;70;50;40
Nepal;NPL;52.5;38.3;39.4;43.3;83.6;79.5;65.8;64.7;48.3;68.2;58.4;10;30
Netherlands;NLD;78.2;95.9;86.8;95.7;54;41.6;94.7;84.8;60.1;74.7;79.6;90;80
New Zealand;NZL;78.1;87.5;91.3;93.9;65.4;47.8;77.7;88.7;69.7;74.6;90.4;70;80
Nicaragua;NIC;54;28.2;13.6;9.1;77.7;75.9;95.8;55.8;47.3;66.4;68.2;60;50
Niger;NER;51.5;29.6;31.8;37.1;77.9;87.3;34.4;33.8;54;72.6;64;55;40
Nigeria;NGA;53.4;25.4;22.4;34.1;85.1;94.5;55.4;38.5;72.8;59.9;67.6;45;40
North Korea;PRK;3;15.7;4;5.9;0;0;0;5;5;0;0;0;0
North Macedonia;MKD;63.2;59.1;43.6;49.7;94.8;60.6;50.9;74.2;57.6;65;77.8;65;60
Norway;NOR;78.3;97.7;94.8;98.5;62.4;44;96.1;86.7;69.3;70.3;85;75;60
Oman;OMN;65.4;74.5;42.3;25.5;97.6;70.8;63.2;68.1;52.2;82.5;78.2;70;60
Pakistan;PAK;49.1;29.2;28.4;28.9;78.3;88.9;8.1;51.5;51.8;54.5;69.8;60;40
Panama;PAN;65.5;56;37;49.4;86.9;85.2;62.4;73.4;60.7;76.4;78.6;60;60
Papua New Guinea;PNG;52.5;44.7;28.5;44.2;72.1;85.5;46.7;35.5;64.6;73.6;79.8;25;30
Paraguay;PRY;65.2;45;27.7;37.3;97;87.1;79.3;73.2;48.2;74.6;78.2;75;60
Peru;PER;65.9;44.9;34;47.3;79.4;83.9;89.8;70.6;65.1;73.9;81.6;60;60
Poland;POL;67.1;72.3;58.4;52.3;73.8;39.7;75.9;77.8;56.8;68.5;79.6;80;70
Portugal;PRT;70.5;90.1;63.9;91.3;59.8;40.2;79.7;79.6;57.1;75.1;79.6;70;60
Qatar;QAT;70.2;71.1;52.6;42.3;99.9;78.1;96.2;67.9;59.3;73.2;81.6;60;60
Republic of Congo;COG;48.6;30.8;13.2;14.9;75.5;86.2;80.4;36.9;52.5;77.7;49.6;35;30
Romania;ROU;66.5;81.7;49.1;67;93.7;59.1;36.1;75.1;67.8;69.2;79.6;70;50
Russia;RUS;51.6;18.6;23;28.4;87.7;62;97.8;51.3;59;62.2;69.4;30;30
Rwanda;RWA;54.8;62;50.5;27.1;81.3;73.8;35;56.8;48.7;67.3;55.2;60;40
Saint Lucia;LCA;67;69.5;59;74.6;78.6;82.5;74.3;73.8;64.9;76.6;60;50;40
Saint Vincent and the Grenadines;VCT;60.1;69;61.7;77.8;74.9;58.9;4.8;69.4;59.7;76.5;59;70;40
Samoa;WSM;66.6;76.1;60.3;77.7;79;67.3;97.8;63.5;76.2;64.6;67.2;40;30
São Tomé and Príncipe;STP;60.4;53;47.7;60.6;88.6;81.5;93.6;52.8;45.2;57.2;65;50;30
Saudi Arabia;SAU;64.4;51;48.1;38.1;99.3;71.6;98.1;70.6;43.1;80.1;72.8;50;50
Senegal;SEN;56.4;57.2;45.2;50.3;69.4;79.7;30.5;54.3;54.3;68.8;67.2;60;40
Serbia;SRB;64.4;58.9;37.2;50.8;87.3;40.2;91.2;74.7;66.6;68.5;77.2;70;50
Seychelles;SYC;66.4;74;75;63.7;79.7;64.6;83.2;78.8;56.5;75.6;85.2;30;30
Sierra Leone;SLE;48;33.8;36;41.5;87.8;89;53.8;37;23.7;50.2;63.6;40;20
Singapore;SGP;84.1;94.3;86.4;58.3;89.9;92.9;73.9;90.6;77.1;81;95;90;80
Slovakia;SVK;68.4;84.3;57.2;69.9;76.7;38.7;69.8;77;58;64.5;79.6;75;70
Slovenia;SVN;68.3;88.4;64.4;91.8;56.6;30.9;72.2;78.5;64.5;72.9;79.6;70;50
Solomon Islands;SLB;56.3;48.2;42;61.9;70.6;70.2;95.3;50.1;60.5;76.2;55.4;15;30
Somalia;SOM;3.82;0;8.2;1.6;4;4;4;4;4;4;4;4;4
South Africa;ZAF;57.3;44.3;45.1;57.7;67.9;68.6;45.8;64;71;74.5;68.4;40;40
South Korea;KOR;74;89.4;68.8;77.3;59.6;81.8;93.8;90;56.4;77.6;73.2;60;60
Spain;ESP;66.3;87.2;64.7;74;57.7;33.5;40.8;83.6;63.1;76.5;84.6;70;60
Sri Lanka;LKA;49.4;51.3;37.4;47.4;77.5;88.8;0;55.8;54.6;54.5;65;30;30
Sudan;SDN;35.3;12;15.6;4;84.7;95.7;73.5;28.5;39.2;16.3;29.6;5;20
Suriname;SUR;50.9;42.1;39.7;43.1;69.1;74;66.1;57.6;69;44.1;65.4;20;20
Sweden;SWE;77.9;96.5;92.3;95.6;51.6;31.5;97.3;84.6;66.1;74.3;79.6;85;80
Switzerland;CHE;83.7;94.5;92.3;99.3;70.9;68;97.6;88.8;60.5;80.7;86.6;85;80
Syria;SYR;3.05;2.6;3.3;3.7;3;3;3;3;3;3;3;3;3
Taiwan;TWN;79.7;83;73.3;94.4;79;90.1;91.3;79.6;69;79.9;86.6;70;60
Tajikistan;TJK;51.5;28.8;15.7;11.2;92.3;75;97.3;56.2;43.6;71;72.2;25;30
Tanzania;TZA;59.3;46.7;39.8;30.4;80.4;89.4;74.3;48.9;62.1;72.5;61.8;55;50
Thailand;THA;60.6;45.1;38.4;34.6;81.3;81.7;61.3;70.9;56.4;70.2;72.4;55;60
The Bahamas;BHS;63.2;61.8;66.2;78.6;97.2;77.2;6.7;70;68.8;72.9;49;50;60
The Gambia;GMB;56.8;55;39.5;45.2;79.3;84.8;56.9;50.6;48;55.7;66.8;50;50
The Philippines;PHL;60.6;47.4;35.3;42.5;79.1;79.9;47.7;69.1;57.7;69.8;79.2;60;60
Timor-Leste;TLS;47.9;41.5;44.1;36.2;97.3;0;19.8;65.6;57.2;67.5;80;45;20
Togo;TGO;52.3;37;31.6;37.1;70.5;81.6;21.7;59.9;51.9;69.8;66.8;60;40
Tonga;TON;58.5;67.9;45.8;65.7;84.9;28.9;96.3;59.5;56.6;61;75.4;40;20
Trinidad and Tobago;TTO;63.6;58.3;44.7;58.5;79.5;74.5;80.9;72.6;60.4;76.3;67.6;50;40
Tunisia;TUN;49.1;59.3;41.3;39.7;79.4;63.1;6.4;56.8;56;71.3;56.2;30;30
Türkiye;TUR;56.1;40.6;34.3;23.8;72.2;71.9;82.3;58.5;48.4;37.9;72.8;70;60
Turkmenistan;TKM;47.1;17.7;7.3;8.2;94.2;96.7;100;37.4;33.9;75.1;74.2;10;10
Uganda;UGA;51.3;47.4;24.1;29.2;73.6;87.7;35.5;50.3;54.8;75.1;57.4;40;40
Ukraine;UKR;25;21.5;35.4;29.9;20;20;20;20;20;20;73.2;20;20
United Arab Emirates;ARE;71.6;65.4;65.9;35.2;96.9;82.3;97.9;84.2;62.1;80.5;78.4;50;60
United Kingdom;GBR;69.3;95.2;83.4;84.8;61;40.1;19;83.4;63.2;67.9;83.4;70;80
United States;USA;70.2;95.4;77.3;76.6;75.6;55.8;0;88.5;77;70.7;75.6;70;80
Uruguay;URY;70.2;86;77.5;81.8;77.3;72.3;79.6;84;61.8;68.5;73;50;30
Uzbekistan;UZB;58;33.5;31.2;14.5;92.8;73.6;73.3;64.4;47.9;64.6;80.6;60;60
Vanuatu;VUT;61.8;61.4;48.1;71.3;97.6;43.1;85.4;55.5;48.8;65.7;59.4;65;40
Venezuela;VEN;27.6;0.7;6.7;4.1;75.9;93.8;29.1;32.5;35.9;0;42.2;0;10
Vietnam;VNM;65.2;49.9;39.1;35;81.8;88.8;95.8;73.9;54.5;73.9;79.8;60;50
Yemen;YEM;6.875;5.1;6.1;8.3;7;7;7;7;7;7;7;7;7
Zambia;ZMB;50.9;45.8;36.7;45.3;74.7;75;0;45.9;48.7;68.2;65.8;55;50
Zimbabwe;ZWE;35.1;20.7;20.7;15.8;73.6;87.6;44.4;39.3;33.2;0;50.4;25;10
